Cutthroat1	巴图克的猛击 Bartuc's Cut-Throat
Isenhart's Lightbrand	依森哈德的光之烙铁 Isenhart's Lightbrand
Vidala's Snare	维达拉的陷阱 Vidala's Snare
Vidala's Ambush	维达拉的突袭 Vidala's Ambush
Vidala's Fetlock	维达拉的距毛 Vidala's Fetlock
Vidala's Barb	维达拉之倒刺 Vidala's Barb
Milabrega's Robe	米拉伯佳之袍 Milabrega's Robe
Milabrega's Diadem	米拉伯佳的王冠 Milabrega's Diadem
Milabrega's Rod	米拉伯佳之杖 Milabrega's Rod
Milabrega's Orb	米拉伯佳之球 Milabrega's Orb
Cathan's Seal	卡珊的封印 Cathan's Seal
Cathan's Sigil	卡珊的魔咒 Cathan's Sigil
Cathan's Visage	卡珊的容貌 Cathan's Visage
Cathan's Mesh	卡珊之网 Cathan's Mesh
Cathan's Rule	卡珊之尺 Cathan's Rule
Tancred's Crowbill	坦克雷的鸦嘴钳 Tancred's Crowbill
Tancred's Spine	坦克雷的脊柱 Tancred's Spine
Tancred's Hobnails	坦克雷的平头钉 Tancred's Hobnails
Tancred's Weird	坦克雷的怪诞 Tancred's Weird
Tancred's Skull	坦克雷之骷髅 Tancred's Skull
Sigon's Visor	西刚之面甲 Sigon's Visor
Sigon's Shelter	西刚的遮蔽 Sigon's Shelter
Sigon's Gage	西刚的挑战 Sigon's Gage
Sigon's Sabot	西刚的木鞋 Sigon's Sabot
Sigon's Wrap	西刚的披肩 Sigon's Wrap
Sigon's Guard	西刚的守护 Sigon's Guard
Infernal Cranium	地狱头骨 Infernal Cranium
Infernal Torch	地狱火炬 Infernal Torch
Infernal Sign	地狱符号 Infernal Sign
Berserker's Headgear	狂战士的头戴 Berserker's Headgear
Berserker's Hauberk	狂战士的锁子甲 Berserker's Hauberk
Berserker's Hatchet	狂战士的手斧 Berserker's Hatchet
Death's Hand	死亡之手 Death's Hand
Death's Guard	死亡的守护 Death's Guard
Death's Touch	死亡之触 Death's Touch
Angelic Sickle	天使的镰刀 Angelic Sickle
Angelic Mantle	天使的披风 Angelic Mantle
Angelic Halo	天使之光 Angelic Halo
Angelic Wings	天使之翼 Angelic Wings
Arctic Horn	北极号角 Arctic Horn
Arctic Furs	北极毛皮 Arctic Furs
Arctic Binding	北极捆缚 Arctic Binding
Arctic Mitts	北极手套 Arctic Mitts
Arcanna's Sign	阿卡娜的符号 Arcanna's Sign
Arcanna's Deathwand	阿卡娜的死亡之杖 Arcanna's Deathwand
Arcanna's Head	阿卡娜的头 Arcanna's Head
Arcanna's Flesh	阿卡娜的血肉 Arcanna's Flesh
skillxname0	 
skillxsd0	 
skillxld0	 
skillxan0	 
skillxname1	 
skillxsd1	 
skillxld1	 
skillxan1	 
skillxname2	 
skillxsd2	 
skillxld2	 
skillxan2	 
skillxname3	 
skillxsd3	 
skillxld3	 
skillxan3	 
skillxname4	 
skillxsd4	 
skillxld4	 
skillxan4	 
skillxname5	 
skillxsd5	 
skillxld5	 
skillxan5	 
skillxname6	 
skillxsd6	 
skillxld6	 
skillxan6	 
skillxname7	 
skillxsd7	 
skillxld7	 
skillxan7	 
skillxname8	 
skillxsd8	 
skillxld8	 
skillxan8	 
skillxname9	 
skillxsd9	 
skillxld9	 
skillxan9	 
skillxname10	 
skillxsd10	 
skillxld10	 
skillxan10	 
skillxname11	 
skillxsd11	 
skillxld11	 
skillxan11	 
skillxname12	 
skillxsd12	 
skillxld12	 
skillxan12	 
skillxname13	 
skillxsd13	 
skillxld13	 
skillxan13	 
skillxname14	 
skillxsd14	 
skillxld14	 
skillxan14	 
skillxname15	 
skillxsd15	 
skillxld15	 
skillxan15	 
skillxname16	 
skillxsd16	 
skillxld16	 
skillxan16	 
skillxname17	 
skillxsd17	 
skillxld17	 
skillxan17	 
skillxname18	 
skillxsd18	 
skillxld18	 
skillxan18	 
skillxname19	 
skillxsd19	 
skillxld19	 
skillxan19	 
skillxname20	 
skillxsd20	 
skillxld20	 
skillxan20	 
skillxname21	 
skillxsd21	 
skillxld21	 
skillxan21	 
skillxname22	 
skillxsd22	 
skillxld22	 
skillxan22	 
skillxname23	 
skillxsd23	 
skillxld23	 
skillxan23	 
skillxname24	 
skillxsd24	 
skillxld24	 
skillxan24	 
skillxname25	 
skillxsd25	 
skillxld25	 
skillxan25	 
skillxname26	 
skillxsd26	 
skillxld26	 
skillxan26	 
skillxname27	 
skillxsd27	 
skillxld27	 
skillxan27	 
skillxname28	 
skillxsd28	 
skillxld28	 
skillxan28	 
skillxname29	 
skillxsd29	 
skillxld29	 
skillxan29	 
skillxname30	 
skillxsd30	 
skillxld30	 
skillxan30	 
skillxname31	 
skillxsd31	 
skillxld31	 
skillxan31	 
skillxname32	 
skillxsd32	 
skillxld32	 
skillxan32	 
skillxname33	 
skillxsd33	 
skillxld33	 
skillxan33	 
skillxname34	 
skillxsd34	 
skillxld34	 
skillxan34	 
skillxname35	 
skillxsd35	 
skillxld35	 
skillxan35	 
skillxname36	 
skillxsd36	 
skillxld36	 
skillxan36	 
skillxname37	 
skillxsd37	 
skillxld37	 
skillxan37	 
skillxname38	 
skillxsd38	 
skillxld38	 
skillxan38	 
skillxname39	 
skillxsd39	 
skillxld39	 
skillxan39	 
skillxname40	 
skillxsd40	 
skillxld40	 
skillxan40	 
skillxname41	 
skillxsd41	 
skillxld41	 
skillxan41	 
skillxname42	 
skillxsd42	 
skillxld42	所有敌人的生命\n创造一道闪电结界，降低附近
skillxan42	 
skillxname43	 
skillxsd43	 
skillxld43	 
skillxan43	 
skillxname44	 
skillxsd44	 
skillxld44	 
skillxan44	 
skillxname45	 
skillxsd45	 
skillxld45	 
skillxan45	 
skillxname46	 
skillxsd46	 
skillxld46	 
skillxan46	 
skillxname47	 
skillxsd47	 
skillxld47	 
skillxan47	 
skillxname48	 
skillxsd48	 
skillxld48	 
skillxan48	 
skillxname49	 
skillxsd49	 
skillxld49	 
skillxan49	 
skillxname50	 
skillxsd50	 
skillxld50	 
skillxan50	 
skillxname51	 
skillxsd51	 
skillxld51	 
skillxan51	 
skillxname52	 
skillxsd52	 
skillxld52	 
skillxan52	 
skillxname53	 
skillxsd53	 
skillxld53	 
skillxan53	 
skillxname54	 
skillxsd54	 
skillxld54	 
skillxan54	 
skillxname55	 
skillxsd55	 
skillxld55	 
skillxan55	 
skillxname56	 
skillxsd56	 
skillxld56	 
skillxan56	 
skillxname57	 
skillxsd57	 
skillxld57	 
skillxan57	 
skillxname58	 
skillxsd58	 
skillxld58	 
skillxan58	 
skillxname59	 
skillxsd59	 
skillxld59	 
skillxan59	 
skillxname60	 
skillxsd60	 
skillxld60	 
skillxan60	 
skillxsname61	 
skillxsd61	 
skillxld61	 
skillxan61	 
skillxname62	 
skillxsd62	 
skillxld62	 
skillxan62	 
skillxname63	 
skillxsd63	被动-增加闪电伤害
skillxld63	被动-增加闪电法术所造成的所有伤害
skillxan63	 
skillxname64	 
skillxsd64	 
skillxld64	 
skillxan64	 
skillxname65	 
skillxsd65	 
skillxld65	 
skillxan65	 
skillxname66	 
skillxsd66	 
skillxld66	 
skillxan66	 
skillxname67	 
skillxsd67	 
skillxld67	 
skillxan67	 
skillxname68	 
skillxsd68	 
skillxld68	 
skillxan68	 
skillxname69	 
skillxsd69	 
skillxld69	 
skillxan69	 
skillxname70	 
skillxsd70	 
skillxld70	 
skillxan70	 
skillxname71	 
skillxsd71	 
skillxld71	 
skillxan71	 
skillxname72	 
skillxsd72	 
skillxld72	 
skillxan72	 
skillxname73	 
skillxsd73	 
skillxld73	 
skillxan73	 
skillxname74	 
skillxsd74	 
skillxld74	 
skillxan74	 
skillxname75	 
skillxsd75	 
skillxld75	 
skillxan75	 
skillxname76	 
skillxsd76	 
skillxld76	 
skillxan76	 
skillxname77	 
skillxsd77	 
skillxld77	 
skillxan77	 
skillxname78	 
skillxsd78	 
skillxld78	 
skillxan78	 
skillxname79	 
skillxsd79	 
skillxld79	 
skillxan79	 
skillxname80	 
skillxsd80	 
skillxld80	 
skillxan80	 
skillxname81	 
skillxsd81	 
skillxld81	 
skillxan81	 
skillxname82	 
skillxsd82	 
skillxld82	 
skillxan82	 
skillxname83	 
skillxsd83	 
skillxld83	 
skillxan83	 
skillxname84	 
skillxsd84	 
skillxld84	 
skillxan84	 
skillxname85	 
skillxsd85	 
skillxld85	 
skillxan85	 
skillxname86	 
skillxsd86	 
skillxld86	此诅咒无法被其他诅咒抵消\n其他周边怪物的目标，\n诅咒一只怪物变成
skillxan86	 
skillxname87	 
skillxsd87	 
skillxld87	 
skillxan87	 
skillxname88	 
skillxsd88	 
skillxld88	 
skillxan88	 
skillxname89	 
skillxsd89	 
skillxld89	 
skillxan89	 
skillxname90	 
skillxsd90	 
skillxld90	 
skillxan90	 
skillxname91	 
skillxsd91	 
skillxld91	 
skillxan91	 
skillxname92	 
skillxsd92	 
skillxld92	 
skillxan92	 
skillxname93	 
skillxsd93	 
skillxld93	 
skillxan93	 
skillxname94	 
skillxsd94	 
skillxld94	 
skillxan94	 
skillxname95	 
skillxsd95	 
skillxld95	 
skillxan95	 
skillxname96	 
skillxsd96	 
skillxld96	 
skillxan96	 
skillxname97	 
skillxsd97	 
skillxld97	 
skillxan97	 
skillxname98	 
skillxsd98	 
skillxld98	 
skillxan98	 
skillxname99	 
skillxsd99	 
skillxld99	 
skillxan99	 
skillxname100	 
skillxsd100	 
skillxld100	 
skillxan100	 
skillxname101	 
skillxsd101	 
skillxld101	 
skillxan101	 
skillxname102	 
skillxsd102	 
skillxld102	 
skillxan102	 
skillxname103	 
skillxsd103	 
skillxld103	 
skillxan103	 
skillxname104	 
skillxsd104	 
skillxld104	 
skillxan104	 
skillxname105	 
skillxsd105	 
skillxld105	 
skillxan105	 
skillxname106	 
skillxsd106	 
skillxld106	 
skillxan106	 
skillxname107	 
skillxsd107	 
skillxld107	 
skillxan107	 
skillxname108	 
skillxsd108	 
skillxld108	 
skillxan108	 
skillxname109	 
skillxsd109	 
skillxld109	 
skillxan109	 
skillxname110	 
skillxsd110	 
skillxld110	 
skillxan110	 
skillxname111	 
skillxsd111	 
skillxld111	 
skillxan111	 
skillxname112	 
skillxsd112	 
skillxld112	 
skillxan112	 
skillxname113	 
skillxsd113	 
skillxld113	 
skillxan113	 
skillxname114	 
skillxsd114	 
skillxld114	 
skillxan114	 
skillxname115	 
skillxsd115	 
skillxld115	 
skillxan115	 
skillxname116	 
skillxsd116	 
skillxld116	 
skillxan116	 
skillxname117	 
skillxsd117	 
skillxld117	 
skillxan117	 
skillxname118	 
skillxsd118	 
skillxld118	在你的攻击中增加闪电伤害\n伤害周边的怪物，\n当动作时，光环引发电击脉冲
skillxan118	 
skillxname119	 
skillxsd119	 
skillxld119	 
skillxan119	 
skillxname120	 
skillxsd120	 
skillxld120	 
skillxan120	 
skillxname121	 
skillxsd121	 
skillxld121	 
skillxan121	 
skillxname122	 
skillxsd122	光环 - 增加攻击速度和伤害
skillxld122	伤害、攻击速度和准确率\n当你发挥之后，光环会增加你和你队伍人士的
skillxan122	 
skillxname123	 
skillxsd123	光环 - 软弱敌人
skillxld123	 
skillxan123	 
skillxname124	 
skillxsd124	 
skillxld124	中的人员重获法力和生命\n被杀死敌人的灵魂，让你和队伍\n当启用时，光环会试着利用
skillxan124	 
skillxname125	 
skillxsd125	 
skillxld125	 
skillxan125	 
skillxname126	 
skillxsd126	 
skillxld126	 
skillxan126	 
skillxname127	 
skillxsd127	 
skillxld127	 
skillxan127	 
skillxname128	 
skillxsd128	 
skillxld128	 
skillxan128	 
skillxname129	 
skillxsd129	 
skillxld129	 
skillxan129	 
skillxname130	 
skillxsd130	 
skillxld130	 
skillxan130	 
skillxname131	 
skillxsd131	 
skillxld131	 
skillxan131	 
skillxname132	 
skillxsd132	 
skillxld132	 
skillxan132	 
skillxname133	 
skillxsd133	 
skillxld133	 
skillxan133	 
skillxname134	 
skillxsd134	 
skillxld134	 
skillxan134	 
skillxname135	 
skillxsd135	 
skillxld135	 
skillxan135	 
skillxname136	 
skillxsd136	 
skillxld136	 
skillxan136	 
skillxname137	 
skillxsd137	 
skillxld137	 
skillxan137	 
skillxname138	 
skillxsd138	 
skillxld138	 
skillxan138	 
skillxname139	 
skillxsd139	 
skillxld139	 
skillxan139	 
skillxname140	 
skillxsd140	 
skillxld140	 
skillxan140	 
skillxname141	 
skillxsd141	 
skillxld141	 
skillxan141	 
skillxname142	 
skillxsd142	 
skillxld142	 
skillxan142	 
skillxname143	 
skillxsd143	 
skillxld143	 
skillxan143	 
skillxname144	 
skillxsd144	 
skillxld144	 
skillxan144	 
skillxname145	 
skillxsd145	 
skillxld145	 
skillxan145	 
skillxname146	 
skillxsd146	 
skillxld146	 
skillxan146	 
skillxname147	 
skillxsd147	 
skillxld147	 
skillxan147	 
skillxname148	 
skillxsd148	 
skillxld148	 
skillxan148	 
skillxname149	 
skillxsd149	 
skillxld149	 
skillxan149	 
skillxname150	 
skillxsd150	 
skillxld150	 
skillxan150	 
skillxname151	 
skillxsd151	 
skillxld151	 
skillxan151	 
skillxname152	 
skillxsd152	 
skillxld152	 
skillxan152	 
skillxname153	 
skillxsd153	 
skillxld153	 
skillxan153	 
skillxname154	 
skillxsd154	 
skillxld154	 
skillxan154	 
skillxname155	 
skillxsd155	 
skillxld155	 
skillxan155	 
strHostileTimeout	与这位玩家宣告敌对，你必须等待一小段时间。
ShrId0	空的圣坛
ShrId1	恢复圣坛
ShrId2	生命圣坛
ShrId3	法力圣坛
ShrId4	生命交换圣坛
ShrId5	法力交换圣坛
ShrId6	装甲圣坛
ShrId7	作战圣坛
ShrId8	抗火焰圣坛
ShrId9	抗冰冻圣坛
ShrId10	抗闪电圣坛
ShrId11	抗毒素圣坛
ShrId12	技能圣坛
ShrId13	法力补充圣坛
ShrId14	耐力圣坛
ShrId15	经验圣坛
ShrId16	鉴定圣坛
ShrId17	传送圣坛
ShrId18	宝石圣坛
ShrId19	火焰圣坛
ShrId20	怪物圣坛
ShrId21	爆裂圣坛
ShrId22	毒素圣坛
x	创建新
CfgSkillPick	快捷技能条
x	核对密码
MercX101	伐德哈卡
MercX102	可汗
MercX103	克理斯克
MercX104	柏斯
MercX105	波姆
MercX106	卫格莱夫
MercX107	霍勒斯加
MercX108	西勒德
MercX109	海尔夫坦
MercX110	海波加
MercX111	海尔干特
MercX112	海加力克
MercX113	艾格索
MercX114	波丹
MercX115	伍夫加
MercX116	希尔德
MercX117	希斯洛夫
MercX118	魏德
MercX119	维克海亚特
MercX120	安佛斯
MercX121	席格庞特
MercX122	希尔穆特
MercX123	罕格斯特
MercX124	弗克魏尔德
MercX125	弗雷斯坦
MercX126	巴希尔
MercX127	高斯里夫
MercX128	欧斯拉夫
MercX129	亚门拉夫
MercX130	加门得
MercX131	菲瓦夫
MercX132	艾得格理斯
MercX133	奥蕾那
MercX134	戴米安
MercX135	艾弗
MercX136	沃斯坦
MercX137	沃夫
MercX138	布温
MercX139	理夫
MercX140	马格纳斯
MercX141	格拉图
MercX142	图鲁斯
MercX143	候克
MercX144	科杜
MercX145	犹瑟r
MercX146	艾普
MercX147	伍夫
MercX148	撒尔
MercX149	卡林姆
MercX150	乌瑞克
MercX151	艾拉瑞克
MercX152	爱瑟瑞得
MercX153	卡登
MercX154	伊尔吉夫
MercX155	托斯提克
MercX156	艾尔昆
MercX157	艾蒙特
MercX158	席古德
MercX159	格姆
MercX160	荷理斯
MercX161	拉格那
MercX162	托克尔
MercX163	沃夫斯坦
MercX164	阿尔班
MercX165	巴洛克
MercX166	比尔
MercX167	狄奥多理
r16	ÿc;符文：破 Io (16#)
r16L	Io
r13	ÿc;符文：夏 Shael (13#)
r13L	Shael
r31	ÿc;符文：乔 Jah (31#)
r31L	Jah
DarkStalker	黑暗偷袭者
VileArcher	邪恶弓箭手
Runeword22	迪勒瑞姆 Delirium
Whichwild String	狂野之弦 Witchwild String
x	本程序使用未经Battle.net授权的毁灭之王CD-KEY安装。
x	您使用的毁灭之王CD-KEY已经被Battle.net停止使用了。请联系技术支援部门寻求进一步的协助。
x	您的毁灭之王CD-KEY正在被使用中，使用者是:
x	您用来安装的毁灭之王CD-KEY是属于其他产品所用的。请使用正确的CD-KEY重新进行安装。
Playersubtitles29	撤退！
AmaOnly	（只限亚马逊）
SorOnly	（只限魔法使）
NecOnly	（只限死灵法师）
PalOnly	（只限圣骑士）
BarOnly	（只限野蛮人）
DruOnly	（只限德鲁伊）
AssOnly	（只限刺客）
Chatcaps	聊天
Newscaps	新闻
Laddercaps	天梯
LaddeCharacter	天梯角色
x	天梯角色只能在天梯赛季内，与其他在同一赛季期间创建的天梯角色一同进行游戏。而当天梯赛季结束后，天梯角色将被转换为非天梯角色。要继续吗？
x	无法进入游戏。非天梯角色无法加入由天梯角色所创建的游戏。
x	无法进入游戏。天梯角色无法加入由非天梯角色所创建的游戏。
Sksyn	协同加成
Damplev	% 物理伤害 - 每基础等级
ElemDampLev	元素伤害每等级
Firedplev	火焰伤害每等级
Colddplev	冰冻伤害每等级
Ltngdplev	雷电伤害每等级
Poisdplev	% 毒素伤害 - 每基础等级
Magdplev	魔法伤害每等级
Rangplev	射程每等级
RateFireplev	火焰机率每等级
AttRateplev	命中率每等级
AttSpeedplev	攻击速度每等级
Defplev	防御每等级
Manacoredplev	法力耗费每等级
Missplev1	投射每等级
Missplev2	+1投射每等级
Missplev3	+1投射每%d等级
Boltplev1	箭矢每等级
Boltplev2	+1箭矢每等级
Boltplev3	+1箭矢每%d等级
Shotplev1	射击每等级
Shotplev2	+1射击每等级
Shotplev3	+1射击每%d等级
Hpplev	生命值每等级
WRSpeedplev	走路/跑步速度每等级
Durateplev	持续每等级
CoLenplev	寒冷时间每等级
FrezLenplev	冰冻时间每等级
PoisLenplev	毒素时间每等级
Convphy2magplev	每等级转换 %d%% 物理伤害为魔法
Convphy2elemplev	每等级转换 %d%% 物理伤害为元素
Convphy2magalt	转换 %d%% 物理伤害为元素
Convphy2elemalt	转换 %d%% 物理伤害为魔法
Secplev1	秒每等级
Secplev2	秒每等级
Damabsplev	伤害吸收每等级
WeapDamsk	武器伤害
Hbdplev	圣光弹伤害每等级
Healplev	治疗每等级
Healplev2	治疗每2秒
FanYDam	你的伤害: 
PartDam	团队伤害: 
AFDImm	火焰伤害平均值依秒
Cgslow	迟缓敌人: 
Corexpdam	尸爆伤害：
ModitemAura	装备时赋予等级 %d %s光环
Moditem2allattrib	所有属性
Moditem2ExpG	经验值获得
ModitemHPaK	生命值在杀死后获得
ModitemRedVendP	所有商人的价格
ModitemSMRIP	杀死怪物回复平静
ModitemAttratvsM	转为命中率相对
Moditemdamvsm	转为伤害相对
Moditemslayat	杀死:
Moditemreanimas	复生为:
Moditemenrescoldsk	对敌人冰冻系抗性
Moditemenresfiresk	对敌人火焰系抗性
Moditemenresltngsk	对敌人闪电系抗性
Moditemenrespoissk	对敌人毒素系抗性
ModitemdamFiresk	火焰法术伤害
ModitemdamColdsk	冰冷法术伤害
ModitemdamLtngsk	闪电法术伤害
ModitemdamPoissk	毒素法术伤害
Moditemskondeath	当你死去 %d%% 几率施展等级 %d %s
ModitemskonLevel	当你升级 %d%% 几率施展等级 %d %s
ModitemskonKill	杀敌时 %d%% 几率施放等级 %d %s
Skillname224	狼人变化 (Werewolf)
Skillsd224	变形成狼人
Skillld224	变形成狼人
Skillan224	狼人
StrSkill43a	骷髅法师
StrSkill44a	骷髅法师
StrSklTabItem9	+%d 召唤技能
SOJSold	%d颗乔丹之石卖给商人
DiabloWalksEarth	迪亚波罗现身地表
neg	地狱爪牙之骨 Hellspawn Skull【精华】【轻】
TrappDoor	陷阱门
uhf	传说之锤 Legendary Mallet
skillxld124P	中的人员重获法力和生命\n被杀死敌人的灵魂，让你和队伍\n当启用时，光环会试着利用
7wa	狂战士斧 Berserker Axe【精华】
skillld42	对附近所有敌人\n创造一个可以损伤生命的电力场
xhg	巨战手套【扩展】
Fiendra	魔蝠
Wraithra	怨灵
Fiend	魔鬼
Wraith	忿怒
D2bnetHelp10	ÿc3蓝色文字ÿc4表示这个举动已有其他聊天频道中的人做过了。
ItemStats1r	格挡几率：
x	服务器已满
x	此刻无法创建新游戏。请加入既有的游戏，或稍后再试。
merca239	贾鲁夫
StrSkill63Patch	结束
x	你已加入创建新游戏的等待队列。请尝试加入既有的游戏，以避免等待。
X	游戏等待队列
x	太多游戏同时创建，请加入其它游戏或在游戏队列中静候
x	你在等待队列中的顺位是：
x	在游戏等待队列中
9bl	小剑【扩展】
eats and spits corpses	吃下并吐出死尸
qstsa2q63f	探索塔·拉夏的墓穴
Shocking Hit	震惊攻击
ModStrCuck2	unused
ModStrCuck1	unused
ModStr3u	击中使怪物逃跑
ModStr4c	额外的准确率加成
UNUSED1036	Slows Target by
ModStr6f	机会使目标复活
ModStr6d	击中使目标目盲
x	输入主控端IP地址以加入游戏
StrSkill61	多重攻击
D2bnetHelp13c	/reply
D2bnethelp13d	准许你不需输入帐户名称回复特定耳语
D2bnetHelp52	/whisper, /msg, /reply
D2bnetHelp10a	ÿc9黄色文字ÿc4代表从Battle.net直接传递的特别消息
BnetnewGameTime	游戏时间:
D2bnetHelp12c	当使用进阶指令时，你也可以对在同一个国度中的角色使用<人物名称>，而在其他国度使用<人物名称@国度>的方式。
D2bnetHelp12d	对于Battle.net上的任何人，包含在如星际争霸等其他的游戏玩家， 你必须使用<*帐户名称>的表示方法。
D2bnetHelp12b	当有指令要求使用<帐户名称>时，请使用下列<人物名称>，<人物名称@国度>，或<*帐户名称>的表示方法之一。
x	网关: %s
x	更改密码
x	更改密码
x	目前使用的密码
x	新密码
x	确认新密码
x	选择地区网关
